Current_File,Target_Module,Consolidation_Type,Risk_Level,Dependencies,Phase,Priority
advanced_security_validator.py,compliance_framework.py,merge,low,security_monitoring.py,1,high
agent_communication_service.py,messaging_service.py,merge,low,redis.py,1,high
agent_messaging_service.py,messaging_service.py,merge,low,redis.py,1,high
alert_analysis_engine.py,alert_manager.py,merge,low,performance_monitor.py,1,high
circuit_breaker.py,circuit_breaker.py,deduplicate,low,,1,high
communication.py,messaging_service.py,merge,low,redis.py,1,high
communication_analyzer.py,communication_protocols.py,merge,low,messaging_service.py,1,high
compliance_framework.py,compliance_framework.py,merge,low,security_monitoring.py,1,high
context_performance_monitor.py,metrics_collector.py,merge,low,redis_integration.py,1,high
correlation.py,communication_protocols.py,merge,low,messaging_service.py,1,high
custom_metrics_exporter.py,metrics_collector.py,merge,low,redis_integration.py,1,high
dashboard_metrics_streaming.py,metrics_collector.py,merge,low,redis_integration.py,1,high
database_performance_validator.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
dlq_monitoring.py,alert_manager.py,merge,low,performance_monitor.py,1,high
enhanced_communication_load_testing.py,benchmarking_framework.py,merge,low,performance_monitor.py,1,high
enhanced_github_integration.py,github_integration.py,merge,low,encryption_service.py,1,high
enterprise_compliance.py,compliance_framework.py,merge,low,security_monitoring.py,1,high
enterprise_compliance_system.py,compliance_framework.py,merge,low,security_monitoring.py,1,high
event_processor.py,event_processing.py,merge,low,redis_integration.py,1,high
event_serialization.py,event_processing.py,merge,low,redis_integration.py,1,high
github_api_client.py,github_integration.py,merge,low,encryption_service.py,1,high
github_quality_integration.py,github_integration.py,merge,low,encryption_service.py,1,high
github_webhooks.py,github_integration.py,merge,low,encryption_service.py,1,high
health_monitor.py,alert_manager.py,merge,low,performance_monitor.py,1,high
hook_performance_benchmarks.py,benchmarking_framework.py,merge,low,performance_monitor.py,1,high
hook_processor.py,event_processing.py,merge,low,redis_integration.py,1,high
integrated_security_system.py,compliance_framework.py,merge,low,security_monitoring.py,1,high
intelligent_alerting.py,alert_manager.py,merge,low,performance_monitor.py,1,high
load_testing.py,benchmarking_framework.py,merge,low,performance_monitor.py,1,high
message_processor.py,messaging_service.py,merge,low,redis.py,1,high
orchestrator_load_testing.py,benchmarking_framework.py,merge,low,performance_monitor.py,1,high
performance_benchmarks.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
performance_evaluator.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
performance_metrics_collector.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
performance_metrics_publisher.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
performance_monitoring.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
performance_storage_engine.py,metrics_collector.py,merge,low,redis_integration.py,1,high
performance_validator.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
prometheus_exporter.py,metrics_collector.py,merge,low,redis_integration.py,1,high
prometheus_exporter.py,prometheus_integration.py,merge,low,metrics_collector.py,1,high
pull_request_automator.py,github_integration.py,merge,low,encryption_service.py,1,high
realtime_coordination_sync.py,websocket_manager.py,merge,low,messaging_service.py,1,high
realtime_dashboard_streaming.py,websocket_manager.py,merge,low,messaging_service.py,1,high
stream_monitor.py,communication_protocols.py,merge,low,messaging_service.py,1,high
team_coordination_metrics.py,metrics_collector.py,merge,low,redis_integration.py,1,high
transcript_streaming.py,websocket_manager.py,merge,low,messaging_service.py,1,high
vs_2_1_performance_validator.py,performance_monitor.py,merge,low,metrics_collector.py,1,high
workflow_message_router.py,event_processing.py,merge,low,redis_integration.py,1,high
access_control.py,authorization_engine.py,merge,medium,authentication_service.py,2,medium
advanced_vector_search.py,vector_search.py,merge,medium,database.py,2,medium
agent_knowledge_manager.py,knowledge_graph.py,merge,medium,semantic_memory.py,2,medium
agent_load_balancer.py,load_balancing.py,merge,medium,agent_lifecycle_manager.py,2,medium
api_security_middleware.py,authorization_engine.py,merge,medium,authentication_service.py,2,medium
audit_logger.py,security_monitoring.py,merge,medium,logging_service.py,2,medium
authorization_engine.py,authorization_engine.py,merge,medium,authentication_service.py,2,medium
automated_orchestrator.py,production_orchestrator.py,merge,medium,"database.py, redis.py, agent_registry.py",2,medium
comprehensive_audit_system.py,security_monitoring.py,merge,medium,logging_service.py,2,medium
consolidation_engine.py,context_compression.py,merge,medium,context_engine.py,2,medium
context_compression.py,context_compression.py,merge,medium,context_engine.py,2,medium
context_compression_engine.py,context_compression.py,merge,medium,context_engine.py,2,medium
context_consolidator.py,context_compression.py,merge,medium,context_engine.py,2,medium
coordination.py,coordination_hub.py,merge,medium,"messaging_service.py, websocket_manager.py",2,medium
coordination_dashboard.py,coordination_hub.py,merge,medium,"messaging_service.py, websocket_manager.py",2,medium
dependency_graph_builder.py,knowledge_graph.py,merge,medium,semantic_memory.py,2,medium
distributed_load_balancing_state.py,load_balancing.py,merge,medium,agent_lifecycle_manager.py,2,medium
enhanced_intelligent_task_router.py,task_execution_engine.py,merge,medium,"agent_lifecycle_manager.py, redis.py",2,medium
enhanced_multi_agent_coordination.py,coordination_hub.py,merge,medium,"messaging_service.py, websocket_manager.py",2,medium
enhanced_redis_streams_manager.py,redis_integration.py,merge,medium,config.py,2,medium
enhanced_security_audit.py,security_monitoring.py,merge,medium,logging_service.py,2,medium
enhanced_security_safeguards.py,threat_detection.py,merge,medium,security_monitoring.py,2,medium
enhanced_vector_search.py,vector_search.py,merge,medium,database.py,2,medium
enhanced_workflow_engine.py,workflow_engine.py,merge,medium,task_execution_engine.py,2,medium
enterprise_observability.py,observability_engine.py,merge,medium,performance_monitor.py,2,medium
enterprise_secrets_manager.py,encryption_service.py,merge,medium,config.py,2,medium
github_security.py,encryption_service.py,merge,medium,config.py,2,medium
global_coordination_integration.py,coordination_hub.py,merge,medium,"messaging_service.py, websocket_manager.py",2,medium
gradient_optimizer.py,performance_optimizer.py,merge,medium,performance_monitor.py,2,medium
high_concurrency_orchestrator.py,production_orchestrator.py,merge,medium,"database.py, redis.py, agent_registry.py",2,medium
hybrid_search_engine.py,vector_search.py,merge,medium,database.py,2,medium
intelligent_task_router.py,task_execution_engine.py,merge,medium,"agent_lifecycle_manager.py, redis.py",2,medium
knowledge_graph_builder.py,knowledge_graph.py,merge,medium,semantic_memory.py,2,medium
load_balancing_benchmarks.py,load_balancing.py,merge,medium,agent_lifecycle_manager.py,2,medium
memory_aware_vector_search.py,vector_search.py,merge,medium,database.py,2,medium
multi_agent_commands.py,coordination_hub.py,merge,medium,"messaging_service.py, websocket_manager.py",2,medium
observability_hooks.py,observability_engine.py,merge,medium,performance_monitor.py,2,medium
observability_performance_testing.py,observability_engine.py,merge,medium,performance_monitor.py,2,medium
observability_streams.py,real_time_coordination.py,merge,medium,"websocket_manager.py, event_processing.py",2,medium
observability_streams.py,observability_engine.py,merge,medium,performance_monitor.py,2,medium
optimized_redis.py,redis_integration.py,merge,medium,config.py,2,medium
orchestrator.py,production_orchestrator.py,merge,medium,"database.py, redis.py, agent_registry.py",2,medium
orchestrator_load_balancing_integration.py,load_balancing.py,merge,medium,agent_lifecycle_manager.py,2,medium
performance_optimization_advisor.py,performance_optimizer.py,merge,medium,performance_monitor.py,2,medium
performance_optimizations.py,performance_optimizer.py,merge,medium,performance_monitor.py,2,medium
performance_optimizer.py,performance_optimizer.py,merge,medium,performance_monitor.py,2,medium
performance_orchestrator.py,production_orchestrator.py,merge,medium,"database.py, redis.py, agent_registry.py",2,medium
poison_message_detector.py,threat_detection.py,merge,medium,security_monitoring.py,2,medium
production_api_security.py,authorization_engine.py,merge,medium,authentication_service.py,2,medium
production_orchestrator.py,production_orchestrator.py,merge,medium,"database.py, redis.py, agent_registry.py",2,medium
rbac_engine.py,authorization_engine.py,merge,medium,authentication_service.py,2,medium
